fund_name,final_fund_value,final_benchmark_value,max_drawdown,average_excess_return,return_rank,drawdown_rank,excess_rank,composite_score,underperformance_flag,drawdown_breach_flag,requires_review
QQQ,17.33,10.46,-4.37,1.06,1.0,7.0,1.0,3.1,True,False,True
Benchmark,10.46,10.46,-3.58,0.0,3.0,4.0,3.0,3.35,False,False,False
VOO,15.27,10.46,-4.01,0.73,2.0,6.0,2.0,3.4,True,False,True
EEM,6.65,10.46,-0.22,-0.59,5.0,1.0,5.0,3.6,True,False,True
Current_Portfolio,9.83,10.46,-3.85,-0.1,4.0,5.0,4.0,4.35,True,False,True
IEFA,5.08,10.46,-3.26,-0.84,6.0,3.0,6.0,4.95,True,False,True
AGG,-0.71,10.46,-3.05,-1.82,7.0,2.0,7.0,5.25,True,False,True
VNQ,-3.21,10.46,-7.94,-2.15,8.0,8.0,8.0,8.0,False,False,False
