fund_name,final_fund_value,final_benchmark_value,max_drawdown,average_excess_return,return_rank,drawdown_rank,excess_rank,composite_score,underperformance_flag,drawdown_breach_flag,requires_review
EEM,6.65,10.46,-0.22,-0.59,3.0,1.0,3.0,2.3,True,False,True
QQQ,17.33,10.46,-4.37,1.06,1.0,5.0,1.0,2.4,True,False,True
VOO,15.27,10.46,-4.01,0.73,2.0,4.0,2.0,2.7,True,False,True
IEFA,5.08,10.46,-3.26,-0.84,4.0,3.0,4.0,3.65,True,False,True
AGG,-0.71,10.46,-3.05,-1.82,5.0,2.0,5.0,3.95,True,False,True
VNQ,-3.21,10.46,-7.94,-2.15,6.0,6.0,6.0,6.0,False,False,False
